PID,AGE_BUILT,sale_price,AGE_SALE,DISTANCE,AV_BLDG_LOG,LAND_SF_LOG,LIVING_AREA_LOG,AGE_REMODEL,R_TOTAL_RMS,edu_Pct_Age_25_plus_bachelors_plus,target
1000990000,122,168000,24,3.294360697,13.05429865,8.109224953,7.417099806,20,8,47.6,0
1000992000,118,9,9,3.291873033,12.85735562,8.160518247,7.360103973,118,9,47.6,1
1000997000,97,105000,26,3.28690025,12.93747854,8.605020902,6.928537818,20,6,47.6,0
1001023000,87,9,9,3.283686234,12.86462838,8.560252681,7.410347098,87,6,47.6,0
1001117000,142,9,5,3.085790682,13.2588155,8.964951212,7.98657294,142,8,47.6,1
1001118000,148,9,5,3.084631612,13.31430518,8.960852845,7.954793532,19,9,47.6,0
1001196000,137,78000,30,3.255111239,12.98837474,8.166216269,7.453272143,14,8,47.6,0
1001204000,18,800000,8,3.230317239,13.5785216,8.03915739,7.749322465,18,6,47.6,1
1001249000,112,0,35,3.388797299,12.79580187,8.599326021,7.575584652,112,8,47.6,0
1001675010,16,225000,15,3.578910004,12.49348968,8.120886021,7.032800768,16,7,82.1,0
1001690000,16,225000,15,3.578234263,12.53400495,8.079308192,6.985826814,16,6,82.1,0
1001701010,142,0,18,3.615609046,13.16791019,9.201904893,7.634724008,142,6,82.1,1
1001746000,87,775000,3,3.678319866,13.06938445,8.037866235,7.209340257,87,6,82.1,1
1001760030,23,1,3,3.676385638,13.33602209,8.192016915,7.301147806,23,6,82.1,0
1001767000,122,535000,5,3.675601141,12.78156178,7.898411093,7.118826249,122,5,82.1,1
1001771000,87,575500,15,3.704164187,13.60429558,8.804625233,7.769209605,38,9,82.1,1
1001772000,102,220000,13,3.713762381,13.01855721,8.700347735,7.390181428,102,8,82.1,1
1001773000,102,9,10,3.718927933,13.10338441,8.851949671,7.572502985,102,7,82.1,1
1001775000,117,375000,20,3.724122072,13.16676296,8.668539944,7.367708572,9,7,82.1,0
1001776000,117,0,35,3.725425059,13.02298493,8.476371197,7.453561872,117,8,82.1,0
1002080010,243,9,15,3.75828051,13.51750875,8.592857095,7.760040681,15,8,82.1,1
1002086010,122,565000,10,3.775081612,13.49420276,9.013838752,7.646831391,5,8,82.1,1
1002093000,92,9,9,3.945335647,13.15792355,8.648221454,7.477604243,92,8,82.1,1
1002094000,98,710000,9,3.903829205,13.53115628,8.634976227,7.584773078,21,9,82.1,1
1002101000,97,9,6,3.894642431,13.16023703,8.725994381,7.440733707,97,6,82.1,1
1002113000,102,1440000,9,3.935794002,14.00273673,8.594154233,8.248529125,5,13,82.1,1
